Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,30.070000,30.250000,29.840000,30.010000,29.939512,3100
2018-05-25,29.959999,29.990000,29.809999,29.990000,29.919558,15000
2018-05-29,28.959999,29.969999,28.920000,29.600000,29.530476,17700
2018-05-30,29.910000,30.219999,29.590000,30.219999,30.149017,3100
2018-05-31,30.190001,30.469999,30.000000,30.389999,30.318619,5800
2018-06-01,30.600000,30.959999,30.600000,30.959999,30.887280,8400
2018-06-04,31.000000,31.459999,31.000000,31.459999,31.386105,5200
2018-06-05,31.530001,31.990000,31.500000,31.600000,31.525778,3800
2018-06-06,31.930000,31.959999,31.530001,31.850000,31.775190,7500
2018-06-07,31.190001,31.549999,31.190001,31.549999,31.475893,9900
2018-06-08,31.190001,31.549999,31.190001,31.549999,31.475893,6600
2018-06-11,31.930000,32.000000,31.650000,31.770000,31.695377,7400
2018-06-12,31.950001,32.369999,31.940001,32.240002,32.164276,6900
2018-06-13,32.410000,32.480000,32.000000,32.070000,31.994673,7200
2018-06-14,32.099998,32.369999,32.099998,32.119999,32.044556,4000
2018-06-15,31.750000,31.950001,31.290001,31.820000,31.745260,11900
2018-06-18,31.510000,31.510000,31.010000,31.400000,31.326246,9500
2018-06-19,30.540001,30.770000,30.170000,30.469999,30.398430,8300
2018-06-20,30.940001,31.139999,30.530001,30.969999,30.897255,6700
2018-06-21,31.040001,31.040001,30.280001,30.340000,30.268736,2500
2018-06-22,30.950001,31.090000,30.650000,30.910000,30.837397,2000
2018-06-25,30.250000,30.250000,29.629999,29.750000,29.680122,9600
2018-06-26,30.440001,30.440001,29.629999,29.840000,29.769911,6200
2018-06-27,29.600000,30.049999,28.389999,28.430000,28.363222,14800
2018-06-28,28.440001,28.799999,28.250000,28.770000,28.702425,16000
2018-06-29,29.290001,29.820000,29.290001,29.590000,29.520498,8900
2018-07-02,28.660000,29.000000,28.660000,28.940001,28.872025,4600
2018-07-03,29.389999,29.389999,29.190001,29.309999,29.241156,2100
2018-07-05,28.700001,28.809999,28.510000,28.520000,28.453012,11000
2018-07-06,28.580000,29.280001,28.580000,29.110001,29.041626,5000
2018-07-09,29.629999,29.940001,29.620001,29.750000,29.680122,10300
2018-07-10,29.590000,29.600000,29.120001,29.250000,29.181297,4300
2018-07-11,29.049999,29.049999,28.910000,28.959999,28.891977,13600
2018-07-12,29.680000,29.900000,29.639999,29.850000,29.779888,4500
2018-07-13,30.170000,30.170000,29.760000,29.760000,29.690098,2200
2018-07-16,30.000000,30.000000,29.610001,29.610001,29.540451,2400
2018-07-17,29.400000,30.000000,29.400000,30.000000,29.929535,1500
2018-07-18,29.990000,29.990000,29.680000,29.799999,29.730003,6800
2018-07-19,29.570000,29.879999,29.379999,29.379999,29.310989,6000
2018-07-20,29.610001,30.000000,29.600000,29.690001,29.620264,4800
2018-07-23,29.620001,29.820000,29.370001,29.530001,29.460640,12100
2018-07-24,30.110001,30.110001,29.549999,29.750000,29.680122,8300
2018-07-25,29.750000,30.090000,29.750000,30.090000,30.019323,5800
2018-07-26,29.709999,29.940001,29.610001,29.719999,29.650192,6300
2018-07-27,29.879999,29.879999,29.190001,29.330000,29.261108,2800
2018-07-30,29.100000,29.100000,28.610001,28.629999,28.562752,4400
2018-07-31,28.570000,28.719999,28.290001,28.590000,28.522846,5100
2018-08-01,28.020000,28.500000,28.010000,28.010000,27.944210,9500
2018-08-02,27.719999,27.920000,27.170000,27.840000,27.774609,22500
2018-08-03,27.620001,27.889999,27.500000,27.830000,27.764631,5100
2018-08-06,27.459999,27.620001,27.299999,27.370001,27.305714,8900
2018-08-07,27.670000,27.920000,27.670000,27.820000,27.754656,11000
2018-08-08,27.940001,27.940001,27.139999,27.340000,27.275784,5500
2018-08-09,27.559999,27.980000,27.559999,27.730000,27.664865,26500
2018-08-10,27.510000,27.580000,27.240000,27.290001,27.225901,9700
2018-08-13,27.160000,27.200001,26.750000,26.750000,26.687168,18100
2018-08-14,26.200001,26.350000,25.709999,25.809999,25.749376,38600
2018-08-15,24.650000,25.270000,24.549999,25.020000,24.961233,15500
2018-08-16,25.190001,25.500000,25.190001,25.370001,25.310411,12500
2018-08-17,25.170000,25.780001,25.000000,25.590000,25.529894,12600
2018-08-20,25.809999,26.320000,25.660000,26.059999,25.998789,14200
2018-08-21,26.370001,26.870001,26.370001,26.500000,26.437756,9100
2018-08-22,26.440001,26.809999,26.440001,26.660000,26.597380,5000
2018-08-23,26.670000,26.940001,26.370001,26.379999,26.318037,10800
2018-08-24,26.459999,27.129999,26.459999,26.750000,26.687168,8700
2018-08-27,27.100000,27.610001,27.100000,27.420000,27.355595,11200
2018-08-28,27.350000,27.350000,27.000000,27.280001,27.215925,11500
2018-08-29,27.150000,27.320000,26.910000,27.200001,27.136112,16400
2018-08-30,26.680000,26.770000,26.200001,26.580000,26.517569,8600
2018-08-31,26.190001,26.490000,26.190001,26.280001,26.218273,4600
2018-09-04,26.400000,26.799999,26.010000,26.510000,26.447733,9800
2018-09-05,26.100000,26.100000,25.590000,25.660000,25.599730,16100
2018-09-06,25.610001,26.230000,25.389999,25.500000,25.440105,7700
2018-09-07,25.270000,26.110001,25.270000,25.570000,25.509939,6300
2018-09-10,25.480000,25.480000,24.799999,24.799999,24.741749,9900
2018-09-11,24.299999,24.820000,24.299999,24.750000,24.691866,11000
2018-09-12,24.600000,25.290001,24.600000,25.219999,25.160761,4400
2018-09-13,25.650000,25.959999,25.559999,25.850000,25.789284,5300
2018-09-14,25.920000,25.959999,25.900000,25.900000,25.839165,2800
2018-09-17,25.570000,25.870001,25.360001,25.360001,25.300434,5000
2018-09-18,25.670000,25.840000,25.510000,25.790001,25.729424,1900
2018-09-19,26.080000,26.500000,26.049999,26.299999,26.238224,8300
2018-09-20,26.400000,26.709999,26.250000,26.690001,26.627310,6500
2018-09-21,26.820000,26.950001,26.660000,26.780001,26.717098,2200
